Neighborhood,Carpool,Drive Alone,Public Transit,Walk,Bike,Other,WFH,
Allston,414.6315,1999.68,4020.351,2999.51775,495.98325,99.7215,472.365,10502.2485
Back Bay,365.006061,2930.70,2800.730061,3439.926,219.0015,108.614061,824.375061,
Beacon Hill,43.055486,1024.67,1205.495486,3704.741486,64.58,109.786,307.833486,
Brighton,1535.791774,11608.74,7839.982887,2429.376774,512.585887,143.356565,1459.198774,
Charlestown,813.246747,4451.73,2535.710247,1297.947,165.903,76.442247,421.266753,
Dorchester,5713.201152,24554.22,20193.33923,2419.938459,299.914617,494.150766,1031.732538,
Downtown,421.54944,1178.67,1489.28,4368,74.88,219.09056,571.30944,
East Boston,1724.079602,6701.14,12909.3861,1200.2895,67.656898,63.7835,527.6635,
Fenway,440.68,2161.25,4136.644,7215.656,291.232,99.632,979.076,
Hyde Park,2001.898,9864.16,3504.486539,454.759026,53.919974,23.448461,501.639539,
Jamaica Plain,1255.33525,9521.98,8652.906593,1083.041907,1192.8525,174.201907,848.243093,
Longwood Medical Area,97.75,140.25,420.75,1179.375,34,21.25,231.625,
Mattapan,1147.864683,5082.67,3549.859817,325.726317,15.6765,125.412,195.088817,
Mission Hill,384.492,1578.78,3421.764,2403.612,534.852,51.552,212.652,
North End,88.101,1376.99,1474.876,3223.844,123.994,53.8395,182.728,
Roslindale,1137.0025,8632.05,3766.77925,254.908625,223.73275,110.0325,553.83025,
Roxbury,1043.323875,6348.55,7462.756125,2029.0545,283.536,149.529798,398.7225,
South Boston,1501.9696,8428.61,7380.0235,1755.6267,259.649,165.7759,481.3493,
South Boston Waterfront,219.3285,883.32,255.3825,415.6225,6.009,27.0405,195.2925,
South End,927.627911,4913.08,5512.382267,5148.440822,518.204911,166.136733,621.059089,
West End,31.71,614.57,706.68,1351.45,52.85,144.96,120.8,
West Roxbury,1370.537447,11287.39,2333.117447,261.276298,61.877851,66.466149,657.763,
