Station,0:00,1:00,2:00,3:00,4:00,5:00,6:00,7:00,8:00,9:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
Wonderland,42,,,,,95,95,95,95,42,42,42,42,42,95,95,95,95,95,42,42,42,42,42
Revere Beach,42,,,,,95,95,95,95,42,42,42,42,42,95,95,95,95,95,42,42,42,42,42
Beachmont,42,,,,,95,95,95,95,42,42,42,42,42,95,95,95,95,95,42,42,42,42,42
Suffolk Downs,42,,,,,95,95,95,95,42,42,42,42,42,95,95,95,95,95,42,42,42,42,42
Orient Heights,42,,,,,95,95,95,95,42,42,42,42,42,95,95,95,95,95,42,42,42,42,42
Wood Island,42,,,,,95,95,95,95,42,42,42,42,42,95,95,95,95,95,42,42,42,42,42
Airport,42,,,,,95,95,95,95,42,42,42,42,42,95,95,95,95,95,42,42,42,42,42
Maverick,59,,,,,95,95,95,95,59,59,59,59,59,95,95,95,95,95,59,59,59,59,59
Aquarium,59,,,,,95,95,95,95,59,59,59,59,59,95,95,95,95,95,59,59,59,59,59
State,59,,,,,95,95,95,95,59,59,59,59,59,95,95,95,95,95,59,59,59,59,59
Government Center,59,,,,,95,95,95,95,59,59,59,59,59,95,95,95,95,95,59,59,59,59,59
Bowdoin,59,,,,,95,95,95,95,59,59,59,59,59,95,95,95,95,95,59,59,59,59,59
,,,,,,,,,,,,,,,,,,,,,,,,
tph-l,4,,,,,6,11,14,13,10,7,7,7,8,12,13,13,13,9,7,6,6,6,5
tph-r,5,,,,,5,11,13,14,11,7,6,7,7,11,14,13,13,11,7,6,6,6,4
avg-consist,6,,,,,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
