id,RD_NAME,RD_DIRECTION,DIRECTION,S8AM,NS8AM
0,Adams St,Westbound,IN,0.93,0.84
1,Airport HOV,Downtown Crossing Northbound,IN,0.96,0.96
2,Andrew McArdle Brg,Southbound,IN,1,0.95
3,Baker St,West Roxbury Southbound,IN,0.98,0.98
4,Beacon St,Bay Village Eastbound,IN,0.96,0.96
5,Beacon St,Bay Village Eastbound,IN,0.9,0.89
6,Beacon St,Bay Village Eastbound,IN,0.91,0.9
7,Broadway,Eastbound,IN,0.9,0.86
8,Brookline Ave,Eastbound,IN,0.9,0.83
9,Bussey St,Northbound,IN,0.94,0.93
10,Cambridge St,Eastbound,IN,0.94,0.9
11,Central Ave,Northbound,IN,0.96,0.98
12,Centre St,Northbound,IN,1.02,1
13,Chelsea St,Southbound,IN,0.96,0.95
14,Chestnut Hill Ave,Brighton Northbound,IN,0.81,0.81
15,Congress St,Downtown Crossing Westbound,IN,0.88,0.86
16,Dedham Pkwy,Northbound,IN,0.93,0.93
17,Eliot Brg,Eastbound,IN,0.81,0.77
18,Granite Ave,Northbound,IN,0.83,0.82
19,Harvard Ave,Allston Northbound,IN,0.91,0.92
20,I-90,Eastbound,IN,0.92,0.8
21,I-90,Westbound,IN,0.98,0.98
22,I-90,Westbound,IN,0.96,0.99
23,I-90,Eastbound,IN,0.89,0.85
24,I-90/Mass Pike Westbound,I-90/Mass Pike Westbound,IN,0.95,0.96
25,I-93,Northbound,IN,0.33,0.34
26,I-93 HOV,Charlestown Southbound,IN,0.4,0.34
27,I-93 HOV,Charlestown Southbound,IN,0.77,0.65
28,I-93/US-1/MA-3,I-93/US-1/MA-3,IN,1.04,1.05
29,John F Gilmore Brg,Northbound,IN,0.93,0.95
30,Kenrick St,Brighton Eastbound,IN,0.97,0.96
31,Lagrange St,Southbound,IN,0.94,0.95
32,MA-109,Eastbound,IN,0.91,0.88
33,MA-145,Southbound,IN,0.84,0.83
34,MA-1A,Southbound,IN,0.88,0.88
35,MA-1A,Southbound,IN,0.42,0.38
36,MA-2,Bay Village Eastbound,IN,0.95,0.95
37,MA-2,Bay Village Eastbound,IN,0.8,0.81
38,MA-2,Westbound,IN,0.93,0.95
39,MA-2,Bay Village Eastbound,IN,0.79,0.83
40,MA-28,Northbound,IN,0.69,0.7
41,MA-2A,Dorchester Eastbound,IN,0.98,0.99
42,MA-3,Bay Village Eastbound,IN,0.99,0.97
43,MA-30,Allston Eastbound,IN,0.95,0.94
44,MA-3A,Neponset Northbound,IN,0.62,0.57
45,MA-9,Bay Village Eastbound,IN,0.82,0.79
46,MA-99,Boston Southbound,IN,0.85,0.7
47,MA-99,Boston Southbound,IN,0.49,0.47
48,Milton St,Hyde Park Eastbound,IN,0.97,0.97
49,Morrissey Blvd/William T Morrissey Blvd,Uphams Corner Northbound,IN,0.7,0.68
50,Mystic Ave,Eastbound,IN,0.57,0.53
51,Mystic Ave,Eastbound,IN,0.82,0.78
52,Neponset Valley Pkwy,Hyde Park Westbound,IN,0.97,0.96
53,Nonantum Rd,Eastbound,IN,0.85,0.79
54,Pond St,Eastbound,IN,0.96,0.94
55,Providence Hwy,Northbound,IN,0.96,0.97
56,River St,Eastbound,IN,0.97,0.95
57,Saint Paul St,Northbound,IN,0.91,0.93
58,Seaport Blvd,Downtown Crossing Westbound,IN,0.87,0.82
59,Sprague St,Hyde Park Eastbound,IN,0.98,0.98
60,Summer St,Bay Village Westbound,IN,0.9,0.9
61,Summer St,Bay Village Westbound,IN,0.81,0.82
62,Tremont St,Eastbound,IN,0.96,0.93
63,Truman Hwy,Northbound,IN,0.98,1
64,Truman Hwy,Hyde Park Southbound,IN,0.97,0.98
65,US-1,Southbound,IN,0.76,0.54
66,US-1,Southbound,IN,0.68,0.53
67,US-1,Southbound,IN,0.84,0.59
68,US-1,Southbound,IN,0.55,0.49
69,US-1,Northbound,IN,1.08,1.04
70,US-20,Back Bay Eastbound,IN,0.91,0.88
71,Vfw Pkwy,Northbound,IN,1,0.99
72,Vfw Pkwy,Northbound,IN,0.81,0.84
73,W Broadway,Bay Village Westbound,IN,0.95,0.94
74,W Roxbury Pkwy,Southbound,IN,0.99,0.99
75,Washington St,Brookline Village Eastbound,IN,0.99,0.98
76,Washington St,Riverside Westbound,IN,0.94,0.89
77,Washington St,Northbound,IN,0.9,0.91
78,Western Ave,Cambridgeport Eastbound,IN,0.87,0.83
79,Western Ave,Westbound,IN,0.87,0.89
